    Mg    0.0000000000    0.0000000000    0.0000000000
    Mg    0.5000000000    0.0000000000    0.0000000000
    Mg    1.0000000000    0.0000000000    0.0000000000
    Mg    0.0000000000    0.5000000000    0.0000000000
    Mg    0.5000000000    0.5000000000    0.0000000000
    Mg    1.0000000000    0.5000000000    0.0000000000
    Mg    0.0000000000    1.0000000000    0.0000000000
    Mg    0.5000000000    1.0000000000    0.0000000000
    Mg    1.0000000000    1.0000000000    0.0000000000
    Mg    0.0000000000    0.0000000000    0.5000000000
    Mg    0.5000000000    0.0000000000    0.5000000000
    Mg    1.0000000000    0.0000000000    0.5000000000
    Mg    0.0000000000    0.5000000000    0.5000000000
    Mg    0.5000000000    0.5000000000    0.5000000000
    Mg    1.0000000000    0.5000000000    0.5000000000
    Mg    0.0000000000    1.0000000000    0.5000000000
    Mg    0.5000000000    1.0000000000    0.5000000000
    Mg    1.0000000000    1.0000000000    0.5000000000
    Mg    0.0000000000    0.0000000000    1.0000000000
    Mg    0.5000000000    0.0000000000    1.0000000000
    Mg    1.0000000000    0.0000000000    1.0000000000
    Mg    0.0000000000    0.5000000000    1.0000000000
    Mg    0.5000000000    0.5000000000    1.0000000000
    Mg    1.0000000000    0.5000000000    1.0000000000
    Mg    0.0000000000    1.0000000000    1.0000000000
    Mg    0.5000000000    1.0000000000    1.0000000000
    Mg    1.0000000000    1.0000000000    1.0000000000
    Ca    0.0000000000    0.0000000000    1.5000000000
    Ca    0.5000000000    0.0000000000    1.5000000000
    Ca    1.0000000000    0.0000000000    1.5000000000
    Ca    0.0000000000    0.5000000000    1.5000000000
    Ca    0.5000000000    0.5000000000    1.5000000000
    Ca    1.0000000000    0.5000000000    1.5000000000
    Ca    0.0000000000    1.0000000000    1.5000000000
    Ca    0.5000000000    1.0000000000    1.5000000000
    Ca    1.0000000000    1.0000000000    1.5000000000
    Ca    0.0000000000    0.0000000000    2.0000000000
    Ca    0.5000000000    0.0000000000    2.0000000000
    Ca    1.0000000000    0.0000000000    2.0000000000
    Ca    0.0000000000    0.5000000000    2.0000000000
    Ca    0.5000000000    0.5000000000    2.0000000000
    Ca    1.0000000000    0.5000000000    2.0000000000
    Ca    0.0000000000    1.0000000000    2.0000000000
    Ca    0.5000000000    1.0000000000    2.0000000000
    Ca    1.0000000000    1.0000000000    2.0000000000
